trade_id,timestamp,counterparty,instrument,amount_usd,status,settlement_days,hour_of_day
TRD101350,2026-04-16 23:29:01.337662,Castillo LLC,EQUITY,12889.52,CANCELLED,3,23
TRD103429,2026-04-17 01:09:11.356470,"Brown, Chen and Crawford",COMMODITY,3859.17,SETTLED,2,1
TRD102549,2026-04-17 01:49:04.347416,Humphrey-Massey,COMMODITY,3228.47,SETTLED,2,1
TRD101616,2026-04-17 02:27:33.339871,Pineda LLC,BOND,2241.67,SETTLED,3,2
TRD104615,2026-04-17 03:29:18.367095,"Pittman, Perez and Smith",BOND,7606.01,SETTLED,2,3
TRD101186,2026-04-17 04:09:03.336228,Miller Ltd,FX,9818.48,SETTLED,2,4
TRD101654,2026-04-17 04:11:05.340170,"Scott, Johnson and Wiley",FX,67065.55,SETTLED,1,4
TRD102493,2026-04-17 04:21:55.346964,Brown-Ramos,FX,6215.17,SETTLED,2,4
TRD103122,2026-04-17 05:30:03.354053,Lee and Sons,COMMODITY,3921.04,FAILED,2,5
TRD100964,2026-04-17 05:35:53.333781,Humphrey-Massey,FX,30368.21,SETTLED,3,5
TRD100772,2026-04-17 05:57:20.330387,"Lutz, Garcia and White",COMMODITY,3933.74,SETTLED,2,5
TRD104869,2026-04-17 06:07:59.369292,Drake-Leon,DERIVATIVE,24530.04,SETTLED,2,6
TRD103406,2026-04-17 06:09:57.356290,"Cummings, Wood and Savage",EQUITY,2966.43,SETTLED,0,6
TRD101839,2026-04-17 06:10:43.341623,Nelson Ltd,EQUITY,33862.01,SETTLED,1,6
TRD103919,2026-04-17 06:43:35.360470,Rodriguez PLC,COMMODITY,5818.85,SETTLED,1,6
TRD102481,2026-04-17 06:58:19.346841,"Lutz, Garcia and White",DERIVATIVE,6988.26,SETTLED,2,6
TRD104807,2026-04-17 07:09:29.368759,Vaughan-Hall,BOND,4719.97,SETTLED,2,7
TRD104099,2026-04-17 07:35:32.361903,Macias-Oliver,EQUITY,114435.06,SETTLED,2,7
TRD104567,2026-04-17 08:06:40.366681,Baker-Ingram,DERIVATIVE,1302.7,SETTLED,1,8
TRD102326,2026-04-17 08:15:23.345534,Ross and Sons,DERIVATIVE,8558.47,SETTLED,2,8
TRD104584,2026-04-17 08:28:30.366828,Butler-Banks,EQUITY,11239.17,PENDING,2,8
TRD103932,2026-04-17 10:10:11.360576,Mccormick-Ewing,BOND,4672.02,FAILED,0,10
TRD104327,2026-04-17 10:33:00.364136,"Smith, Levy and Brown",FX,20665.94,SETTLED,0,10
TRD102104,2026-04-17 10:43:45.343779,"Salazar, Jones and Miller",COMMODITY,2898.0,SETTLED,0,10
TRD104832,2026-04-17 12:40:16.368973,"Salazar, Jones and Miller",COMMODITY,3982.83,PENDING,3,12
TRD103557,2026-04-17 13:42:07.357470,Humphrey-Massey,EQUITY,28955.27,CANCELLED,1,13
TRD104919,2026-04-17 13:57:16.369718,Santiago PLC,COMMODITY,2444.06,SETTLED,0,13
TRD104995,2026-04-17 14:21:17.370378,Santiago PLC,BOND,45267.74,SETTLED,2,14
TRD104937,2026-04-17 14:40:59.369872,"Pittman, Perez and Smith",FX,11879.51,SETTLED,1,14
TRD103868,2026-04-17 15:42:39.360073,"Duncan, Cox and Wilson",EQUITY,209483.02,SETTLED,2,15
TRD103884,2026-04-17 15:54:00.360197,"Lewis, Thompson and Jimenez",EQUITY,18631.11,SETTLED,3,15
TRD104366,2026-04-17 16:11:57.364831,Brown-Ramos,BOND,11514.87,SETTLED,0,16
TRD100629,2026-04-17 16:57:10.328816,"Navarro, Gibson and Hernandez",BOND,3477.21,SETTLED,1,16
TRD103208,2026-04-17 17:10:55.354727,"Brown, Chen and Crawford",COMMODITY,1734.95,SETTLED,3,17
TRD100155,2026-04-17 17:24:54.325083,"Scott, Johnson and Wiley",DERIVATIVE,6240.29,SETTLED,3,17
TRD102679,2026-04-17 18:07:06.349743,"Navarro, Gibson and Hernandez",FX,926.63,SETTLED,1,18
TRD102308,2026-04-17 18:30:32.345391,Mccormick-Ewing,FX,32055.79,SETTLED,0,18
TRD100816,2026-04-17 18:32:34.331053,Ramos-Schmitt,COMMODITY,3743.36,SETTLED,3,18
TRD103080,2026-04-17 19:03:05.353732,Walker PLC,FX,9624.93,SETTLED,2,19
TRD104001,2026-04-17 19:13:28.361121,"Mccoy, Hayes and Hernandez",FX,6588.96,SETTLED,2,19
TRD104092,2026-04-17 19:14:21.361850,"Mccoy, Hayes and Hernandez",COMMODITY,8644.48,SETTLED,0,19
TRD101879,2026-04-17 19:48:23.341935,Butler-Banks,EQUITY,11303.08,SETTLED,1,19
TRD103793,2026-04-17 20:04:48.359482,"Cummings, Wood and Savage",FX,2328.4,SETTLED,2,20
TRD102315,2026-04-17 20:26:03.345446,"Pittman, Perez and Smith",FX,1269.12,FAILED,1,20
TRD102049,2026-04-17 20:38:20.343353,Mcintyre-Franco,EQUITY,6914.64,SETTLED,2,20
TRD100186,2026-04-17 20:41:54.325326,Lee and Sons,BOND,46229.45,CANCELLED,2,20
TRD100632,2026-04-17 20:58:32.328839,"Henson, Miranda and Garcia",EQUITY,9929.18,PENDING,0,20
TRD102838,2026-04-17 22:12:24.351783,"Henson, Miranda and Garcia",BOND,10052.2,SETTLED,3,22
TRD103855,2026-04-17 22:59:46.359971,"Glenn, Thomas and Mcpherson",BOND,12079.48,FAILED,0,22
TRD104044,2026-04-17 23:06:06.361466,Lee and Sons,COMMODITY,223021.51,SETTLED,1,23
TRD103986,2026-04-17 23:33:39.361001,Vaughan-Hall,EQUITY,3693.3,SETTLED,1,23
TRD101870,2026-04-17 23:46:28.341866,"Navarro, Gibson and Hernandez",EQUITY,3437.1,SETTLED,2,23
TRD100201,2026-04-18 00:35:49.325443,Hernandez-Dennis,BOND,8154.23,SETTLED,2,0
TRD101344,2026-04-18 01:15:21.337611,Lee and Sons,EQUITY,20093.39,SETTLED,2,1
TRD101267,2026-04-18 01:26:11.336946,Baker-Ingram,DERIVATIVE,4910.64,CANCELLED,1,1
TRD101620,2026-04-18 01:51:00.339902,Castillo LLC,EQUITY,8225.54,SETTLED,4,1
TRD100342,2026-04-18 02:40:54.326565,"Garrison, Hernandez and Rogers",FX,1869.54,SETTLED,2,2
TRD103299,2026-04-18 02:59:53.355450,Nelson Ltd,FX,974.12,SETTLED,3,2
TRD102208,2026-04-18 03:06:40.344595,Hernandez-Dennis,EQUITY,11097.56,SETTLED,0,3
TRD103427,2026-04-18 04:05:15.356455,"Smith, Levy and Brown",BOND,8323.24,SETTLED,3,4
TRD103997,2026-04-18 04:13:06.361088,"Mccoy, Hayes and Hernandez",BOND,3467.1,SETTLED,4,4
TRD104251,2026-04-18 04:13:51.363215,Lee and Sons,COMMODITY,78761.4,SETTLED,1,4
TRD103801,2026-04-18 04:39:14.359547,Crane-Shields,DERIVATIVE,14507.66,SETTLED,1,4
TRD103452,2026-04-18 04:47:14.356656,Baker-Ingram,DERIVATIVE,5215.32,SETTLED,2,4
TRD102540,2026-04-18 04:56:34.347340,"Mccoy, Hayes and Hernandez",FX,2459.45,SETTLED,2,4
TRD102440,2026-04-18 05:04:08.346498,"Cummings, Wood and Savage",EQUITY,26703.2,PENDING,3,5
TRD101877,2026-04-18 05:57:33.341921,Russell-Mcbride,DERIVATIVE,3530.87,SETTLED,0,5
TRD102266,2026-04-18 06:23:46.345062,West-Martin,EQUITY,14779.52,PENDING,1,6
TRD104677,2026-04-18 06:32:32.367628,"Mccoy, Hayes and Hernandez",EQUITY,605.73,FAILED,2,6
TRD103588,2026-04-18 06:54:14.357849,"Duncan, Cox and Wilson",COMMODITY,33674.4,SETTLED,1,6
TRD102676,2026-04-18 06:56:51.349700,Crane-Shields,EQUITY,9907.86,SETTLED,3,6
TRD101141,2026-04-18 07:38:42.335839,Macias-Oliver,FX,33959.75,SETTLED,1,7
TRD101719,2026-04-18 08:13:44.340680,Russell-Mcbride,EQUITY,1726.81,SETTLED,2,8
TRD102795,2026-04-18 08:48:31.351372,Ross and Sons,FX,56242.84,FAILED,1,8
TRD104069,2026-04-18 09:19:58.361664,Santiago PLC,DERIVATIVE,1163.74,SETTLED,2,9
TRD103089,2026-04-18 10:02:01.353801,"Salazar, Jones and Miller",DERIVATIVE,54703.36,SETTLED,2,10
TRD103630,2026-04-18 10:11:08.358186,Lee and Sons,DERIVATIVE,87584.59,SETTLED,2,10
TRD100030,2026-04-18 10:13:07.324080,"Lutz, Garcia and White",FX,4559.6,SETTLED,1,10
TRD101501,2026-04-18 10:46:01.338966,"Henson, Miranda and Garcia",DERIVATIVE,4932.86,SETTLED,3,10
TRD102993,2026-04-18 10:57:23.353051,"Scott, Johnson and Wiley",COMMODITY,3113.38,SETTLED,2,10
TRD103534,2026-04-18 13:05:27.357291,Hernandez-Dennis,BOND,55644.79,SETTLED,0,13
TRD102098,2026-04-18 13:52:42.343733,Vaughan-Hall,DERIVATIVE,30235.14,SETTLED,0,13
TRD104896,2026-04-18 14:23:31.369524,Ross and Sons,DERIVATIVE,10060.44,SETTLED,1,14
TRD103597,2026-04-18 14:24:18.357925,"Pittman, Perez and Smith",COMMODITY,19869.36,SETTLED,2,14
TRD101071,2026-04-18 14:35:25.335226,Macias-Oliver,BOND,9976.72,SETTLED,2,14
TRD101789,2026-04-18 14:54:53.341233,"Glenn, Thomas and Mcpherson",EQUITY,3045.89,SETTLED,0,14
TRD102360,2026-04-18 15:18:04.345802,Mcintyre-Franco,BOND,27135.24,SETTLED,2,15
TRD103268,2026-04-18 15:49:01.355211,Macias-Oliver,FX,2588.56,SETTLED,2,15
TRD101399,2026-04-18 16:11:01.338079,Crane-Shields,COMMODITY,5262.94,SETTLED,2,16
TRD103891,2026-04-18 16:13:34.360252,"Garrison, Hernandez and Rogers",EQUITY,9224.15,SETTLED,4,16
TRD103141,2026-04-18 17:01:03.354201,"Henson, Miranda and Garcia",EQUITY,24436.81,SETTLED,3,17
TRD104621,2026-04-18 17:30:20.367146,Vaughan-Hall,DERIVATIVE,7972.84,SETTLED,0,17
TRD101397,2026-04-18 17:42:24.338062,Drake-Leon,BOND,7803.07,SETTLED,1,17
TRD102701,2026-04-18 17:46:30.350073,Neal Group,COMMODITY,15386.38,SETTLED,2,17
TRD102701_DUP,2026-04-18 17:46:30.350073,Neal Group,COMMODITY,15386.38,SETTLED,2,17
TRD101555,2026-04-18 18:21:32.339391,Butler-Banks,BOND,2009.94,FAILED,1,18
TRD103260,2026-04-18 18:29:26.355148,"Brown, Chen and Crawford",BOND,5335.89,FAILED,1,18
TRD101826,2026-04-18 18:59:14.341524,"Henson, Miranda and Garcia",BOND,13818.02,SETTLED,1,18
TRD102768,2026-04-18 20:00:38.350999,Neal Group,FX,2282.97,SETTLED,1,20
TRD102952,2026-04-18 20:22:20.352708,"Navarro, Gibson and Hernandez",COMMODITY,2772.5,SETTLED,1,20
TRD101709,2026-04-18 20:53:29.340605,"Navarro, Gibson and Hernandez",DERIVATIVE,1717.89,SETTLED,1,20
TRD104624,2026-04-18 21:00:24.367171,"Smith, Levy and Brown",FX,39964.76,PENDING,0,21
TRD102385,2026-04-18 21:19:30.345997,"Salazar, Jones and Miller",BOND,8252.07,SETTLED,1,21
TRD101378,2026-04-18 21:43:20.337900,"Cummings, Wood and Savage",BOND,10239.72,FAILED,1,21
TRD103070,2026-04-18 21:52:36.353656,"Navarro, Gibson and Hernandez",DERIVATIVE,4531.87,CANCELLED,1,21
TRD100559,2026-04-18 22:04:11.328270,Santiago PLC,DERIVATIVE,10314.63,PENDING,3,22
TRD102356,2026-04-18 22:17:17.345772,Nelson Ltd,DERIVATIVE,13247.49,SETTLED,2,22
TRD101810,2026-04-18 22:25:56.341397,Crane-Shields,FX,1560.2,SETTLED,2,22
TRD104688,2026-04-18 23:26:45.367723,Lee and Sons,FX,680.05,SETTLED,3,23
TRD101327,2026-04-18 23:56:18.337465,Russell-Mcbride,BOND,3679.74,SETTLED,2,23
TRD103725,2026-04-19 00:00:39.358942,Pineda LLC,EQUITY,4676.8,SETTLED,2,0
TRD100130,2026-04-19 00:40:11.324881,West-Martin,DERIVATIVE,2664.26,SETTLED,1,0
TRD100728,2026-04-19 00:48:11.329727,Santiago PLC,EQUITY,20010.45,SETTLED,2,0
TRD101587,2026-04-19 01:19:51.339645,Ramos-Schmitt,DERIVATIVE,2434.12,SETTLED,1,1
TRD103414,2026-04-19 01:45:48.356352,"Navarro, Gibson and Hernandez",BOND,6585.23,SETTLED,1,1
TRD102405,2026-04-19 02:14:36.346180,Castillo LLC,COMMODITY,20086.15,SETTLED,0,2
TRD100328,2026-04-19 02:58:50.326458,"Mccoy, Hayes and Hernandez",COMMODITY,8239.67,SETTLED,1,2
TRD100120,2026-04-19 03:59:13.324801,Mccormick-Ewing,BOND,3130.58,FAILED,1,3
TRD102803,2026-04-19 04:26:24.351498,Nelson Ltd,EQUITY,1763.15,SETTLED,1,4
TRD102430,2026-04-19 04:33:12.346420,Butler-Banks,DERIVATIVE,4578.13,FAILED,1,4
TRD104175,2026-04-19 06:03:17.362494,"Brown, Chen and Crawford",FX,1327.87,FAILED,1,6
TRD103768,2026-04-19 06:15:43.359290,"Salazar, Jones and Miller",BOND,4828.32,SETTLED,0,6
TRD102592,2026-04-19 08:01:47.347765,Ross and Sons,BOND,28240.63,FAILED,0,8
TRD104515,2026-04-19 08:23:37.366204,Ramos-Schmitt,EQUITY,7987.01,SETTLED,1,8
TRD102698,2026-04-19 08:30:18.350030,"Smith, Levy and Brown",COMMODITY,10802.72,SETTLED,2,8
TRD101357,2026-04-19 08:33:41.337723,Ramos-Schmitt,EQUITY,12596.56,FAILED,0,8
TRD103926,2026-04-19 08:50:19.360529,"Pittman, Perez and Smith",FX,12484.85,PENDING,2,8
TRD100644,2026-04-19 09:14:23.328934,Mccormick-Ewing,FX,2155.89,SETTLED,0,9
TRD103558,2026-04-19 09:20:15.357478,"Lewis, Thompson and Jimenez",DERIVATIVE,66425.33,SETTLED,1,9
TRD102381,2026-04-19 09:28:48.345967,"Navarro, Gibson and Hernandez",EQUITY,18148.32,SETTLED,2,9
TRD103609,2026-04-19 10:35:59.358023,Ross and Sons,DERIVATIVE,2127.2,SETTLED,0,10
TRD101243,2026-04-19 11:21:18.336737,Ramos-Schmitt,FX,5092.09,SETTLED,1,11
TRD103825,2026-04-19 11:51:46.359733,"Salazar, Jones and Miller",FX,30468.97,SETTLED,1,11
TRD103603,2026-04-19 11:57:08.357974,Vaughan-Hall,BOND,11355.72,SETTLED,3,11
TRD104266,2026-04-19 12:47:01.363356,Russell-Mcbride,FX,14415.75,SETTLED,3,12
TRD103181,2026-04-19 13:09:50.354516,"Scott, Johnson and Wiley",DERIVATIVE,4380.39,SETTLED,2,13
TRD103175,2026-04-19 13:17:49.354468,Humphrey-Massey,BOND,227739.19,SETTLED,0,13
TRD100253,2026-04-19 13:25:15.325850,"Scott, Johnson and Wiley",DERIVATIVE,3980.36,SETTLED,1,13
TRD104085,2026-04-19 14:04:41.361795,Mccormick-Ewing,EQUITY,4221.29,SETTLED,3,14
TRD104981,2026-04-19 14:06:28.370260,"Garrison, Hernandez and Rogers",DERIVATIVE,18512.38,SETTLED,1,14
TRD103483,2026-04-19 14:12:49.356897,Humphrey-Massey,FX,4047.47,SETTLED,1,14
TRD100002,2026-04-19 14:53:37.323828,Brown-Morris,COMMODITY,71685.48,SETTLED,1,14
TRD103790,2026-04-19 15:12:27.359459,"Lewis, Thompson and Jimenez",COMMODITY,33761.34,SETTLED,2,15
TRD101365,2026-04-19 15:37:13.337789,"Duncan, Cox and Wilson",FX,35491.53,SETTLED,3,15
TRD100589,2026-04-19 15:56:13.328500,Macias-Oliver,EQUITY,2474.25,SETTLED,0,15
TRD100871,2026-04-19 16:06:50.331909,Nelson Ltd,EQUITY,8813.7,SETTLED,3,16
TRD102151,2026-04-19 16:15:17.344144,Lee and Sons,COMMODITY,2517.58,SETTLED,2,16
TRD104806,2026-04-19 16:17:24.368751,"Salazar, Jones and Miller",DERIVATIVE,4451.08,PENDING,0,16
TRD104318,2026-04-19 16:57:36.364025,"Navarro, Gibson and Hernandez",BOND,37407.28,SETTLED,0,16
TRD100519,2026-04-19 17:30:05.327958,"Navarro, Gibson and Hernandez",EQUITY,10607.77,PENDING,3,17
TRD101060,2026-04-19 18:55:09.335129,"Salazar, Jones and Miller",COMMODITY,146552.43,SETTLED,2,18
TRD103200,2026-04-19 18:58:52.354666,Miller Ltd,DERIVATIVE,12041.77,SETTLED,1,18
TRD104275,2026-04-19 19:32:07.363425,"Lewis, Thompson and Jimenez",EQUITY,1644.5,SETTLED,1,19
TRD101304,2026-04-19 20:09:28.337266,Rodriguez PLC,BOND,227380.73,PENDING,3,20
TRD100842,2026-04-20 00:19:45.331459,Pineda LLC,EQUITY,1968.75,SETTLED,3,0
TRD103312,2026-04-20 01:05:02.355551,Miller Ltd,COMMODITY,3694.35,SETTLED,0,1
TRD104159,2026-04-20 01:08:05.362369,Mccormick-Ewing,DERIVATIVE,3009.86,CANCELLED,1,1
TRD103404,2026-04-20 01:36:18.356275,Pineda LLC,COMMODITY,5162.83,SETTLED,0,1
TRD103978,2026-04-20 01:43:15.360940,Rodriguez PLC,COMMODITY,7711.76,SETTLED,4,1
TRD104940,2026-04-20 01:53:50.369898,Mcintyre-Franco,DERIVATIVE,8562.55,SETTLED,1,1
TRD102548,2026-04-20 01:54:30.347408,West-Martin,COMMODITY,23552.44,SETTLED,0,1
TRD104897,2026-04-20 03:41:04.369532,"Brown, Chen and Crawford",DERIVATIVE,3987.89,SETTLED,3,3
TRD100749,2026-04-20 04:08:09.330038,"Mccoy, Hayes and Hernandez",BOND,27691.34,SETTLED,2,4
TRD103770,2026-04-20 04:34:55.359305,"Glenn, Thomas and Mcpherson",COMMODITY,16845.79,SETTLED,1,4
TRD100796,2026-04-20 04:44:27.330754,"Lutz, Garcia and White",EQUITY,13682.48,FAILED,2,4
TRD104639,2026-04-20 07:52:50.367303,Ramos-Schmitt,BOND,4650.43,SETTLED,1,7
TRD100946,2026-04-20 08:09:21.333574,Ross and Sons,EQUITY,4799.84,SETTLED,1,8
TRD101324,2026-04-20 08:28:58.337440,Castillo LLC,FX,8256.38,SETTLED,2,8
TRD104813,2026-04-20 08:29:53.368812,Pineda LLC,EQUITY,10116.82,SETTLED,4,8
TRD103522,2026-04-20 08:35:14.357199,"Duncan, Cox and Wilson",DERIVATIVE,21111.44,SETTLED,1,8
TRD101072,2026-04-20 08:50:58.335234,Nelson Ltd,COMMODITY,6199.09,SETTLED,3,8
TRD104587,2026-04-20 08:55:16.366854,"Garrison, Hernandez and Rogers",BOND,30515.7,FAILED,1,8
TRD102492,2026-04-20 09:26:50.346956,Drake-Leon,COMMODITY,15959.52,SETTLED,3,9
TRD103206,2026-04-20 09:28:20.354712,Ross and Sons,FX,930.29,SETTLED,2,9
TRD102657,2026-04-20 09:40:44.349408,Baker-Ingram,DERIVATIVE,3684.8,SETTLED,1,9
TRD103222,2026-04-20 09:55:17.354841,"Mccoy, Hayes and Hernandez",FX,20763.99,SETTLED,1,9
TRD100408,2026-04-20 10:38:07.327088,"Smith, Levy and Brown",FX,11164.12,SETTLED,2,10
TRD100932,2026-04-20 11:01:11.333365,Baker-Ingram,BOND,38762.49,SETTLED,0,11
TRD100932_DUP,2026-04-20 11:01:11.333365,Baker-Ingram,BOND,38762.49,SETTLED,0,11
TRD103378,2026-04-20 11:18:33.356072,Nelson Ltd,BOND,12275.26,SETTLED,2,11
TRD103617,2026-04-20 11:21:04.358085,Walker PLC,DERIVATIVE,3813.19,SETTLED,3,11
TRD100879,2026-04-20 11:31:09.332030,Miller Ltd,FX,56091.18,SETTLED,3,11
TRD102665,2026-04-20 11:32:06.349536,"Lutz, Garcia and White",EQUITY,4244.96,SETTLED,1,11
TRD101343,2026-04-20 11:40:12.337602,Butler-Banks,DERIVATIVE,14230.19,SETTLED,0,11
TRD102329,2026-04-20 12:15:44.345557,Russell-Mcbride,EQUITY,10886.73,SETTLED,1,12
TRD102869,2026-04-20 12:18:19.352033,"Glenn, Thomas and Mcpherson",EQUITY,3813.21,SETTLED,2,12
TRD102980,2026-04-20 12:29:33.352951,Brown-Morris,BOND,3056.25,SETTLED,4,12
TRD101407,2026-04-20 12:43:28.338150,West-Martin,BOND,73062.35,SETTLED,2,12
TRD101113,2026-04-20 12:47:46.335592,West-Martin,BOND,44512.42,SETTLED,1,12
TRD104921,2026-04-20 13:26:57.369735,"Cummings, Wood and Savage",BOND,4202.23,SETTLED,0,13
TRD102954,2026-04-20 13:50:44.352724,Lee and Sons,FX,60211.41,FAILED,1,13
TRD103129,2026-04-20 13:54:35.354107,"Salazar, Jones and Miller",BOND,2430.55,SETTLED,1,13
TRD103117,2026-04-20 15:06:41.354015,Crane-Shields,BOND,6209.67,PENDING,2,15
TRD103845,2026-04-20 15:23:37.359891,Rodriguez PLC,COMMODITY,13248.27,SETTLED,1,15
TRD103515,2026-04-20 15:46:23.357145,"Scott, Johnson and Wiley",EQUITY,1576.67,SETTLED,1,15
TRD101457,2026-04-20 15:54:22.338581,"Henson, Miranda and Garcia",COMMODITY,18446.12,SETTLED,3,15
TRD103067,2026-04-20 16:19:54.353632,Hernandez-Dennis,DERIVATIVE,3094.44,FAILED,0,16
TRD104547,2026-04-20 16:22:16.366508,"Duncan, Cox and Wilson",BOND,34882.37,SETTLED,2,16
TRD104565,2026-04-20 16:41:27.366663,Ramos-Schmitt,EQUITY,35054.55,SETTLED,4,16
TRD104302,2026-04-20 16:49:26.363810,West-Martin,DERIVATIVE,16914.37,SETTLED,3,16
TRD100007,2026-04-20 18:04:53.323880,Drake-Leon,EQUITY,1022.59,CANCELLED,1,18
TRD100319,2026-04-20 18:38:43.326387,Mcintyre-Franco,DERIVATIVE,1723.39,SETTLED,0,18
TRD102072,2026-04-20 18:55:19.343530,Hernandez-Dennis,COMMODITY,1309.38,SETTLED,0,18
TRD104043,2026-04-20 19:00:46.361456,Mccormick-Ewing,COMMODITY,6892.0,SETTLED,1,19
TRD103468,2026-04-20 19:04:29.356779,Hernandez-Dennis,COMMODITY,45976.05,CANCELLED,1,19
TRD103152,2026-04-20 19:38:56.354288,Mccormick-Ewing,COMMODITY,783.04,PENDING,2,19
TRD102643,2026-04-20 19:56:23.349204,Mccormick-Ewing,EQUITY,1881.31,SETTLED,3,19
TRD102600,2026-04-20 20:32:48.347829,Castillo LLC,COMMODITY,5448.36,SETTLED,1,20
TRD100563,2026-04-20 20:57:13.328300,Ramos-Schmitt,EQUITY,11651.18,SETTLED,1,20
TRD101125,2026-04-20 21:24:25.335704,Crane-Shields,BOND,6953.09,SETTLED,3,21
TRD104911,2026-04-20 21:41:56.369650,Mccormick-Ewing,EQUITY,3078.47,SETTLED,1,21
TRD101496,2026-04-20 21:58:06.338926,"Lutz, Garcia and White",FX,8834.72,SETTLED,1,21
TRD103881,2026-04-20 22:04:58.360174,Hernandez-Dennis,FX,2365.73,SETTLED,2,22
TRD102311,2026-04-20 22:06:13.345414,West-Martin,FX,2793.93,SETTLED,2,22
TRD103988,2026-04-20 22:24:49.361016,Brown-Morris,COMMODITY,2476.4,SETTLED,2,22
TRD104027,2026-04-20 22:33:28.361332,Brown-Morris,BOND,4248.94,SETTLED,2,22
TRD104052,2026-04-20 22:38:00.361529,Miller Ltd,COMMODITY,2020.5,SETTLED,0,22
TRD102673,2026-04-20 23:25:18.349656,Vaughan-Hall,FX,5826.88,SETTLED,0,23
TRD102772,2026-04-21 00:01:20.351053,Neal Group,DERIVATIVE,5227.62,SETTLED,0,0
TRD104686,2026-04-21 00:01:50.367705,"Pittman, Perez and Smith",BOND,3992.22,FAILED,2,0
TRD101227,2026-04-21 00:20:53.336585,"Pittman, Perez and Smith",EQUITY,18369.79,SETTLED,3,0
TRD104407,2026-04-21 00:59:07.365222,Vaughan-Hall,FX,11795.09,SETTLED,2,0
TRD104752,2026-04-21 01:00:09.368284,Young PLC,FX,74432.52,FAILED,2,1
TRD100853,2026-04-21 01:11:18.331636,Russell-Mcbride,EQUITY,18162.03,SETTLED,3,1
TRD104948,2026-04-21 01:37:56.369969,Humphrey-Massey,COMMODITY,4759.44,SETTLED,1,1
TRD103869,2026-04-21 01:56:19.360081,"Navarro, Gibson and Hernandez",DERIVATIVE,10425.5,SETTLED,2,1
TRD104491,2026-04-21 02:44:02.365945,Rodriguez PLC,EQUITY,7197.83,SETTLED,2,2
TRD101017,2026-04-21 04:00:19.334466,Walker PLC,EQUITY,28918.94,SETTLED,4,4
TRD104293,2026-04-21 04:05:12.363669,Brown-Morris,DERIVATIVE,75876.19,SETTLED,0,4
TRD103828,2026-04-21 04:12:46.359756,Santiago PLC,FX,50208.64,PENDING,0,4
TRD102887,2026-04-21 04:12:53.352181,"Glenn, Thomas and Mcpherson",BOND,11726.56,SETTLED,0,4
TRD100349,2026-04-21 04:13:34.326620,"Lewis, Thompson and Jimenez",FX,24558.97,SETTLED,1,4
TRD100807,2026-04-21 04:35:25.330920,Brown-Ramos,EQUITY,6525.18,SETTLED,5,4
TRD103785,2026-04-21 05:39:11.359421,Ross and Sons,EQUITY,2201.96,SETTLED,2,5
TRD100400,2026-04-21 06:12:59.327025,Baker-Ingram,COMMODITY,24982.74,FAILED,1,6
TRD101593,2026-04-21 06:16:21.339693,Santiago PLC,FX,1927.26,SETTLED,2,6
TRD102671,2026-04-21 06:37:10.349628,"Scott, Johnson and Wiley",BOND,1051.23,SETTLED,1,6
TRD104223,2026-04-21 06:54:28.362983,"Cummings, Wood and Savage",EQUITY,18004.94,SETTLED,4,6
TRD102524,2026-04-21 07:30:52.347214,"Lutz, Garcia and White",COMMODITY,31139.54,SETTLED,1,7
TRD104239,2026-04-21 07:43:58.363112,Mcintyre-Franco,DERIVATIVE,115519.65,FAILED,0,7
